track,id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,coverlink
abcdefu (angrier),1EQFOouqdKYdpbNoOHRVO2,0.671,0.599,4,-6.18,0.0405,0.0658,0,0.101,0.448,121.849,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Pray,2gbRKKSyW7e7vAkyvrJkte,0.588,0.39,8,-7.753,0.0578,0.726,1.26e-05,0.0965,0.206,96.571,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
The Greatest Show,4ylWMuGbMXNDgDd8lErEle,0.417,0.824,11,-7.36,0.105,0.000239,0.0545,0.0725,0.4,157.92,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Middle Finger,0IK8y0vAO0sM630HsxwLht,0.685,0.656,1,-6.013,0.0383,0.437,0,0.347,0.392,128.003,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
This is Our Life,5PUTXDqo5aGHoGbAhYm5ZT,0.364,0.877,7,-3.922,0.107,0.0011,1.16e-05,0.348,0.382,157.675,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
"This Ain't A Scene, It's An Arms Race",1oagRT7LfpVlNJN6FSZDGp,0.435,0.887,9,-4.07,0.0636,0.000747,0,0.0327,0.408,199.935,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,0.625,0.939,4,-3.115,0.0669,0.00138,0,0.424,0.644,102.999,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Heaven In Hiding,2zRiYzBzeabQQ16BK3c6jk,0.55,0.874,1,-3.954,0.136,0.0957,0,0.0618,0.476,117.926,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
This Town,6cHnFNsmVWqMwdbGotlUEm,0.73,0.388,10,-6.98,0.0362,0.67,0,0.114,0.48,114.869,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Nothing Personal,0wfgdpYNPfUZj4D35SybLR,0.383,0.827,11,-4.655,0.0627,0.019,0,0.131,0.238,169.832,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
EAT SPIT! (feat. Royal & the Serpent),1aFP0G0GHQAAH9gfC95wT1,0.763,0.805,1,-2.694,0.395,0.0228,0.000154,0.0776,0.402,167.978,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Anybody,5hmagJmSC6n4UwT0crJIeC,0.744,0.579,4,-5.67,0.0813,0.281,0,0.214,0.688,106.173,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
I Think I'm In Love,3U1TuSqHIubBA10cVP7Sk6,0.632,0.638,7,-6.731,0.0505,0.137,0,0.125,0.574,121.868,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Strong Enough,144JMbvbR5txNzoZ112wo4,0.593,0.923,0,-6.19,0.101,0.0495,0,0.29,0.587,124.862,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
girls,04OSnqlwlBJMvidYccraVz,0.518,0.447,5,-14.461,0.0338,0.23,0.0426,0.171,0.792,150.059,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
KULT (feat. Jasiah),22ya9ZSp7FxhcgFLALm0eS,0.446,0.832,4,-4.195,0.0596,0.000331,0.000784,0.203,0.558,165.983,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Somebody To Love - B RHON Remix,0emROlLyw65SOvSyO4dWwp,0.676,0.884,1,-7.89,0.102,0.0153,1.82e-05,0.0657,0.142,137.99,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,0.684,0.619,10,-7.005,0.0386,0.0716,0,0.122,0.284,125.046,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Hurtless,6HJizCbaqaEQG1eLjn341Z,0.37,0.559,0,-5.589,0.0526,0.186,0,0.121,0.316,162.816,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Chosen,2lDgdWIGLYuk74pDeRPgPF,0.658,0.892,6,-2.928,0.036,0.00723,0,0.0723,0.919,107.944,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Slumber Party (feat. Princess Nokia),11ZulcYY4lowvcQm4oe3VJ,0.964,0.398,11,-8.981,0.0795,0.00151,3.95e-05,0.101,0.563,105.012,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
E-GIRLS ARE RUINING MY LIFE!,7bCfHiRcfUjG0YVVNUL7Ve,0.614,0.937,1,-7.443,0.115,0.00161,0.00136,0.103,0.386,84.98,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Be Alright,5qrSlOut2rNAWv3ubArkNy,0.551,0.537,11,-7.595,0.034,0.705,0,0.0802,0.493,126.421,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Sarcasm,40i81AcCCxiVEFUWElcjZC,0.387,0.929,7,-4.825,0.161,0.00238,7.22e-06,0.314,0.591,180.359,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Let’s Get The Party Started (feat. Bring Me The Horizon),5BdiprSBqgkULtloEFbhfF,0.279,0.849,6,-3.975,0.103,0.00119,0,0.189,0.385,176.13,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Psycho,29GKyMCkBY2Kc7M2VcAZJE,0.559,0.861,9,-3.774,0.0459,0.0012,0,0.102,0.508,158.022,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Raise Hell,2NPHU2WJaI3rrtCNNuQ8L1,0.547,0.693,6,-6.404,0.0264,0.0224,0,0.523,0.716,79.963,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
La Di Da,3uRr07EDEbxDeUlTAcJ6hw,0.439,0.886,7,-3.46,0.144,0.000752,9.29e-06,0.798,0.807,163.056,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0.0505,0.000735,0,0.0998,0.537,88.014,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Lonely,4jXbcY2ulVT7MOPdN8nR50,0.622,0.619,2,-6.4,0.0561,0.0624,0,0.081,0.483,147.965,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
"Burn Butcher Burn - from ""The Witcher: Season 2"" Soundtrack",6Hp57iv0VLGgmWyOFx8iUm,0.344,0.219,0,-15.187,0.0653,0.636,0,0.114,0.183,78.341,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
We Don't Have To Dance,13b32GfUIo3BV93C8KtEdj,0.535,0.929,8,-4.223,0.0958,0.0056,0,0.0925,0.649,146.068,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Maybe My Soulmate Died,6ppqoeLXfffALBPks5Z2D6,0.612,0.49,0,-9.997,0.242,0.0806,0.00195,0.122,0.491,96.034,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Hallelujah,5IaR621NoOM6i5KTcuNRHM,0.177,0.425,2,-6.211,0.0291,0.654,0,0.195,0.0942,182.571,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Surface Pressure,760jhRscwGbIIe1m1IIQpU,0.65,0.584,2,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
The Phoenix,7jwDuO7UZvWs77KNj9HbvF,0.562,0.964,4,-2.991,0.072,0.000539,1.57e-06,0.579,0.41,138.063,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Impossible,1T8PwF3JhIiWwBhun23RNe,0.6,0.624,8,-3.631,0.0334,0.385,0,0.125,0.529,90.036,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Guilty (For Your Love),5IQsOjMFT0iTPQJx2cSTGg,0.485,0.801,0,-3.924,0.07,0.0142,0,0.0467,0.328,141.954,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Can't Help Falling in Love,4SA50CDTprl0tp36yIBp0s,0.317,0.199,4,-12.656,0.0364,0.906,0.000632,0.0965,0.0593,119.837,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
I Don't Care,26VG1uCazw9xtVnq8A1vtd,0.55,0.938,11,-3.556,0.0522,0.00171,2.18e-05,0.555,0.433,133.99,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
CHAMPION,14oFxKTXuTpYgKe2vy0Cih,0.612,0.701,8,-3.615,0.0339,0.0148,5.82e-06,0.186,0.354,97.971,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Every Time You Leave,5icbZiF6lcuEORG0UzMsS2,0.473,0.749,1,-5.047,0.0287,0.000466,5.5e-06,0.0883,0.167,150.022,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Use Somebody,5VGlqQANWDKJFl0MBG3sg2,0.276,0.715,0,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
